Time (s), Voltage (V), Current (A), SOC (%)
1, 2.94, 0.00, 0.00, 
2, 2.67, 0.93, 0.03, 
3, 2.68, 0.92, 0.06, 
4, 2.65, 0.93, 0.10, 
5, 2.67, 0.92, 0.13, 
6, 2.67, 0.92, 0.16, 
7, 2.68, 0.92, 0.19, 
8, 2.70, 0.91, 0.22, 
9, 2.70, 0.91, 0.26, 
10, 2.71, 0.91, 0.29, 
11, 2.73, 0.90, 0.32, 
12, 2.74, 0.90, 0.35, 
13, 2.75, 0.89, 0.38, 
14, 2.76, 0.89, 0.41, 
15, 2.76, 0.88, 0.44, 
16, 2.77, 0.88, 0.47, 
17, 2.78, 0.88, 0.50, 
18, 2.79, 0.87, 0.53, 
19, 2.79, 0.87, 0.56, 
20, 2.80, 0.87, 0.59, 
21, 2.81, 0.86, 0.62, 
22, 2.81, 0.86, 0.65, 
23, 2.82, 0.86, 0.68, 
24, 2.83, 0.86, 0.71, 
25, 2.83, 0.86, 0.74, 
26, 2.83, 0.85, 0.77, 
27, 2.84, 0.85, 0.80, 
28, 2.85, 0.85, 0.83, 
29, 2.85, 0.85, 0.86, 
30, 2.86, 0.85, 0.89, 
31, 2.87, 0.84, 0.92, 
32, 2.87, 0.84, 0.95, 
33, 2.87, 0.84, 0.98, 
34, 2.88, 0.84, 1.01, 
35, 2.88, 0.84, 1.04, 
36, 2.89, 0.84, 1.07, 
37, 2.89, 0.84, 1.10, 
38, 2.90, 0.83, 1.13, 
39, 2.90, 0.83, 1.15, 
40, 2.90, 0.83, 1.18, 
41, 2.91, 0.83, 1.21, 
42, 2.92, 0.83, 1.24, 
43, 2.92, 0.82, 1.27, 
44, 2.92, 0.82, 1.30, 
45, 2.93, 0.82, 1.33, 
46, 2.93, 0.82, 1.35, 
47, 2.94, 0.81, 1.38, 
48, 2.94, 0.81, 1.41, 
49, 2.95, 0.81, 1.44, 
50, 2.95, 0.81, 1.47, 
51, 2.96, 0.81, 1.50, 
52, 2.96, 0.80, 1.52, 
53, 2.96, 0.80, 1.55, 
54, 2.97, 0.80, 1.58, 
55, 2.97, 0.80, 1.61, 
56, 2.97, 0.80, 1.63, 
57, 2.98, 0.80, 1.66, 
58, 2.98, 0.80, 1.69, 
59, 2.98, 0.80, 1.72, 
60, 2.99, 0.79, 1.74, 
61, 2.99, 0.79, 1.77, 
62, 3.00, 0.79, 1.80, 
63, 3.00, 0.78, 1.83, 
64, 3.00, 0.78, 1.85, 
65, 3.00, 0.78, 1.88, 
66, 3.01, 0.78, 1.91, 
67, 3.01, 0.78, 1.94, 
68, 3.01, 0.78, 1.96, 
69, 3.02, 0.78, 1.99, 
70, 3.02, 0.78, 2.02, 
71, 3.02, 0.77, 2.04, 
72, 3.02, 0.77, 2.07, 
73, 3.03, 0.77, 2.10, 
74, 3.03, 0.77, 2.12, 
75, 3.03, 0.77, 2.15, 
76, 3.04, 0.77, 2.18, 
77, 3.04, 0.76, 2.20, 
78, 3.04, 0.76, 2.23, 
79, 3.04, 0.76, 2.26, 
80, 3.04, 0.76, 2.28, 
81, 3.05, 0.76, 2.31, 
82, 3.05, 0.76, 2.34, 
83, 3.06, 0.75, 2.36, 
84, 3.06, 0.75, 2.39, 
85, 3.06, 0.75, 2.41, 
86, 3.06, 0.75, 2.44, 
87, 3.06, 0.75, 2.47, 
88, 3.07, 0.74, 2.49, 
89, 3.07, 0.74, 2.52, 
90, 3.07, 0.74, 2.54, 
91, 3.07, 0.74, 2.57, 
92, 3.07, 0.74, 2.59, 
93, 3.08, 0.74, 2.62, 
94, 3.08, 0.73, 2.64, 
95, 3.08, 0.73, 2.67, 
96, 3.09, 0.73, 2.70, 
97, 3.09, 0.73, 2.72, 
98, 3.09, 0.73, 2.75, 
99, 3.09, 0.73, 2.77, 
100, 3.10, 0.73, 2.80, 
101, 3.09, 0.73, 2.82, 
102, 3.10, 0.72, 2.85, 
103, 3.10, 0.73, 2.87, 
104, 3.10, 0.72, 2.90, 
105, 3.11, 0.72, 2.92, 
106, 3.11, 0.72, 2.95, 
107, 3.11, 0.71, 2.97, 
108, 3.11, 0.71, 3.00, 
109, 3.11, 0.72, 3.02, 
110, 3.11, 0.72, 3.05, 
111, 3.11, 0.72, 3.07, 
112, 3.11, 0.71, 3.10, 
113, 3.12, 0.71, 3.12, 
114, 3.12, 0.71, 3.15, 
115, 3.13, 0.70, 3.17, 
116, 3.13, 0.70, 3.19, 
117, 3.13, 0.71, 3.22, 
118, 3.13, 0.71, 3.24, 
119, 3.13, 0.70, 3.27, 
120, 3.13, 0.70, 3.29, 
121, 3.13, 0.70, 3.32, 
122, 3.14, 0.70, 3.34, 
123, 3.14, 0.70, 3.37, 
124, 3.14, 0.70, 3.39, 
125, 3.15, 0.69, 3.41, 
126, 3.15, 0.69, 3.44, 
127, 3.15, 0.69, 3.46, 
128, 3.15, 0.69, 3.49, 
129, 3.15, 0.69, 3.51, 
130, 3.15, 0.69, 3.53, 
131, 3.15, 0.69, 3.56, 
132, 3.16, 0.68, 3.58, 
133, 3.16, 0.68, 3.61, 
134, 3.16, 0.69, 3.63, 
135, 3.16, 0.68, 3.65, 
136, 3.16, 0.68, 3.68, 
137, 3.17, 0.68, 3.70, 
138, 3.16, 0.68, 3.72, 
139, 3.16, 0.68, 3.75, 
140, 3.17, 0.68, 3.77, 
141, 3.17, 0.67, 3.79, 
142, 3.17, 0.67, 3.82, 
143, 3.17, 0.67, 3.84, 
144, 3.17, 0.68, 3.86, 
145, 3.17, 0.67, 3.89, 
146, 3.18, 0.67, 3.91, 
147, 3.18, 0.67, 3.93, 
148, 3.18, 0.66, 3.96, 
149, 3.18, 0.67, 3.98, 
150, 3.18, 0.66, 4.00, 
151, 3.19, 0.66, 4.03, 
152, 3.18, 0.66, 4.05, 
153, 3.19, 0.66, 4.07, 
154, 3.19, 0.66, 4.10, 
155, 3.19, 0.66, 4.12, 
156, 3.19, 0.66, 4.14, 
157, 3.19, 0.66, 4.16, 
158, 3.20, 0.66, 4.19, 
159, 3.20, 0.65, 4.21, 
160, 3.20, 0.65, 4.23, 
161, 3.20, 0.65, 4.25, 
162, 3.20, 0.65, 4.28, 
163, 3.20, 0.65, 4.30, 
164, 3.20, 0.65, 4.32, 
165, 3.20, 0.65, 4.35, 
166, 3.20, 0.65, 4.37, 
167, 3.21, 0.64, 4.39, 
168, 3.21, 0.64, 4.41, 
169, 3.21, 0.64, 4.43, 
170, 3.21, 0.64, 4.46, 
171, 3.21, 0.64, 4.48, 
172, 3.21, 0.64, 4.50, 
173, 3.22, 0.64, 4.52, 
174, 3.22, 0.64, 4.55, 
175, 3.22, 0.64, 4.57, 
176, 3.22, 0.64, 4.59, 
177, 3.22, 0.64, 4.61, 
178, 3.22, 0.64, 4.64, 
179, 3.22, 0.64, 4.66, 
180, 3.22, 0.64, 4.68, 
181, 3.23, 0.64, 4.70, 
182, 3.23, 0.63, 4.72, 
183, 3.23, 0.63, 4.75, 
184, 3.22, 0.63, 4.77, 
185, 3.23, 0.63, 4.79, 
186, 3.23, 0.63, 4.81, 
187, 3.23, 0.63, 4.83, 
188, 3.23, 0.63, 4.86, 
189, 3.23, 0.63, 4.88, 
190, 3.24, 0.63, 4.90, 
191, 3.24, 0.63, 4.92, 
192, 3.23, 0.63, 4.94, 
193, 3.24, 0.63, 4.96, 
194, 3.24, 0.63, 4.99, 
