Time (s), Voltage (V), Current (A), SOC (%)
0, 3.00, 0.00, 0.00, 
1, 3.01, 0.20, 0.01, 
2, 3.01, 0.20, 0.01, 
3, 3.01, 0.20, 0.02, 
4, 3.01, 0.20, 0.03, 
5, 3.01, 0.20, 0.03, 
6, 3.01, 0.20, 0.04, 
7, 3.01, 0.20, 0.05, 
8, 3.02, 0.20, 0.05, 
9, 3.02, 0.20, 0.06, 
10, 3.02, 0.20, 0.07, 
11, 3.02, 0.20, 0.07, 
12, 3.02, 0.20, 0.08, 
13, 3.02, 0.20, 0.09, 
14, 3.03, 0.20, 0.10, 
15, 3.02, 0.20, 0.10, 
16, 3.03, 0.20, 0.11, 
17, 3.02, 0.20, 0.12, 
18, 3.03, 0.20, 0.12, 
19, 3.03, 0.20, 0.13, 
20, 3.03, 0.20, 0.14, 
21, 3.03, 0.20, 0.14, 
22, 3.04, 0.20, 0.15, 
23, 3.04, 0.20, 0.16, 
24, 3.04, 0.20, 0.16, 
25, 3.04, 0.20, 0.17, 
26, 3.04, 0.20, 0.18, 
27, 3.05, 0.20, 0.18, 
28, 3.05, 0.20, 0.19, 
29, 3.05, 0.20, 0.20, 
30, 3.05, 0.20, 0.20, 
31, 3.05, 0.20, 0.21, 
32, 3.06, 0.20, 0.22, 
33, 3.06, 0.20, 0.22, 
34, 3.06, 0.20, 0.23, 
35, 3.07, 0.20, 0.24, 
36, 3.06, 0.20, 0.25, 
37, 3.07, 0.20, 0.25, 
38, 3.07, 0.20, 0.26, 
39, 3.07, 0.20, 0.27, 
40, 3.07, 0.20, 0.27, 
41, 3.07, 0.20, 0.28, 
42, 3.07, 0.20, 0.29, 
43, 3.08, 0.20, 0.29, 
44, 3.08, 0.20, 0.30, 
45, 3.08, 0.20, 0.31, 
46, 3.08, 0.20, 0.31, 
47, 3.08, 0.20, 0.32, 
48, 3.08, 0.20, 0.33, 
49, 3.08, 0.20, 0.33, 
50, 3.08, 0.20, 0.34, 
51, 3.09, 0.20, 0.35, 
52, 3.09, 0.20, 0.35, 
53, 3.09, 0.20, 0.36, 
54, 3.09, 0.20, 0.37, 
55, 3.09, 0.20, 0.37, 
56, 3.09, 0.20, 0.38, 
57, 3.10, 0.20, 0.39, 
58, 3.10, 0.20, 0.40, 
59, 3.09, 0.20, 0.40, 
60, 3.10, 0.20, 0.41, 
61, 3.10, 0.20, 0.42, 
62, 3.10, 0.20, 0.42, 
63, 3.10, 0.20, 0.43, 
64, 3.10, 0.20, 0.44, 
65, 3.10, 0.20, 0.44, 
66, 3.10, 0.20, 0.45, 
67, 3.10, 0.20, 0.46, 
68, 3.11, 0.20, 0.46, 
69, 3.10, 0.20, 0.47, 
70, 3.11, 0.20, 0.48, 
71, 3.11, 0.20, 0.48, 
72, 3.11, 0.20, 0.49, 
73, 3.11, 0.20, 0.50, 
74, 3.12, 0.20, 0.50, 
75, 3.12, 0.20, 0.51, 
76, 3.12, 0.20, 0.52, 
77, 3.12, 0.20, 0.52, 
78, 3.12, 0.20, 0.53, 
79, 3.12, 0.20, 0.54, 
80, 3.12, 0.20, 0.54, 
81, 3.12, 0.20, 0.55, 
82, 3.12, 0.20, 0.56, 
83, 3.13, 0.20, 0.57, 
84, 3.12, 0.20, 0.57, 
85, 3.13, 0.20, 0.58, 
86, 3.13, 0.20, 0.59, 
87, 3.13, 0.20, 0.59, 
88, 3.13, 0.20, 0.60, 
89, 3.13, 0.20, 0.61, 
90, 3.13, 0.20, 0.61, 
91, 3.14, 0.20, 0.62, 
92, 3.14, 0.20, 0.63, 
93, 3.14, 0.20, 0.63, 
94, 3.14, 0.20, 0.64, 
95, 3.14, 0.20, 0.65, 
96, 3.14, 0.20, 0.65, 
97, 3.14, 0.20, 0.66, 
98, 3.14, 0.20, 0.67, 
99, 3.14, 0.20, 0.67, 
100, 3.14, 0.20, 0.68, 
101, 3.15, 0.20, 0.69, 
102, 3.14, 0.20, 0.69, 
103, 3.15, 0.20, 0.70, 
104, 3.15, 0.20, 0.71, 
105, 3.15, 0.20, 0.72, 
106, 3.15, 0.20, 0.72, 
107, 3.15, 0.20, 0.73, 
108, 3.15, 0.20, 0.74, 
109, 3.15, 0.20, 0.74, 
110, 3.15, 0.20, 0.75, 
111, 3.16, 0.20, 0.76, 
112, 3.16, 0.20, 0.76, 
113, 3.16, 0.20, 0.77, 
114, 3.16, 0.20, 0.78, 
115, 3.16, 0.20, 0.78, 
116, 3.16, 0.20, 0.79, 
117, 3.16, 0.20, 0.80, 
118, 3.16, 0.20, 0.80, 
119, 3.16, 0.20, 0.81, 
120, 3.16, 0.20, 0.82, 
121, 3.16, 0.20, 0.82, 
122, 3.16, 0.20, 0.83, 
123, 3.16, 0.20, 0.84, 
124, 3.17, 0.20, 0.84, 
125, 3.16, 0.20, 0.85, 
126, 3.17, 0.20, 0.86, 
127, 3.17, 0.20, 0.86, 
128, 3.17, 0.20, 0.87, 
129, 3.17, 0.20, 0.88, 
130, 3.17, 0.20, 0.89, 
131, 3.17, 0.20, 0.89, 
132, 3.17, 0.20, 0.90, 
133, 3.17, 0.20, 0.91, 
134, 3.17, 0.20, 0.91, 
135, 3.18, 0.20, 0.92, 
136, 3.18, 0.20, 0.93, 
137, 3.18, 0.20, 0.93, 
138, 3.18, 0.20, 0.94, 
139, 3.18, 0.20, 0.95, 
140, 3.18, 0.20, 0.95, 
141, 3.18, 0.20, 0.96, 
142, 3.18, 0.20, 0.97, 
143, 3.18, 0.20, 0.97, 
144, 3.18, 0.20, 0.98, 
145, 3.18, 0.20, 0.99, 
146, 3.18, 0.20, 0.99, 
147, 3.18, 0.20, 1.00, 
148, 3.19, 0.20, 1.01, 
149, 3.18, 0.20, 1.01, 
150, 3.19, 0.20, 1.02, 
151, 3.19, 0.20, 1.03, 
152, 3.19, 0.20, 1.04, 
153, 3.19, 0.20, 1.04, 
154, 3.19, 0.20, 1.05, 
155, 3.19, 0.20, 1.06, 
156, 3.19, 0.20, 1.06, 
157, 3.19, 0.20, 1.07, 
158, 3.19, 0.20, 1.08, 
159, 3.19, 0.20, 1.08, 
160, 3.20, 0.20, 1.09, 
161, 3.20, 0.20, 1.10, 
162, 3.20, 0.20, 1.10, 
163, 3.20, 0.20, 1.11, 
