Time (s), Voltage (V), Current (A), SOC (%)
0, 3.00, 0.00, 0.00, 
1, 3.59, 0.63, 0.02, 
2, 3.62, 0.60, 0.04, 
3, 3.65, 0.58, 0.06, 
4, 3.66, 0.57, 0.08, 
5, 3.67, 0.56, 0.10, 
6, 3.68, 0.56, 0.12, 
7, 3.68, 0.56, 0.14, 
8, 3.69, 0.55, 0.16, 
9, 3.70, 0.55, 0.18, 
10, 3.70, 0.55, 0.20, 
11, 3.70, 0.54, 0.22, 
12, 3.71, 0.54, 0.24, 
13, 3.71, 0.54, 0.25, 
14, 3.72, 0.54, 0.27, 
15, 3.71, 0.53, 0.29, 
16, 3.72, 0.53, 0.31, 
17, 3.72, 0.53, 0.33, 
18, 3.72, 0.53, 0.35, 
19, 3.72, 0.53, 0.37, 
20, 3.72, 0.53, 0.38, 
21, 3.72, 0.53, 0.40, 
22, 3.73, 0.52, 0.42, 
23, 3.73, 0.52, 0.44, 
24, 3.73, 0.52, 0.46, 
25, 3.73, 0.52, 0.47, 
26, 3.74, 0.52, 0.49, 
27, 3.74, 0.52, 0.51, 
28, 3.74, 0.52, 0.53, 
29, 3.74, 0.52, 0.55, 
30, 3.74, 0.52, 0.56, 
31, 3.74, 0.51, 0.58, 
32, 3.74, 0.51, 0.60, 
33, 3.75, 0.51, 0.62, 
34, 3.75, 0.51, 0.64, 
35, 3.75, 0.51, 0.65, 
36, 3.75, 0.51, 0.67, 
37, 3.75, 0.51, 0.69, 
38, 3.75, 0.51, 0.71, 
39, 3.75, 0.51, 0.72, 
40, 3.75, 0.51, 0.74, 
41, 3.76, 0.50, 0.76, 
42, 3.75, 0.50, 0.78, 
43, 3.76, 0.50, 0.79, 
44, 3.76, 0.50, 0.81, 
45, 3.76, 0.50, 0.83, 
46, 3.76, 0.50, 0.85, 
47, 3.76, 0.50, 0.86, 
48, 3.76, 0.50, 0.88, 
49, 3.76, 0.50, 0.90, 
50, 3.76, 0.50, 0.92, 
51, 3.76, 0.50, 0.93, 
52, 3.77, 0.50, 0.95, 
53, 3.77, 0.49, 0.97, 
54, 3.77, 0.49, 0.98, 
55, 3.77, 0.49, 1.00, 
56, 3.77, 0.49, 1.02, 
57, 3.77, 0.49, 1.04, 
58, 3.77, 0.49, 1.05, 
59, 3.77, 0.49, 1.07, 
60, 3.77, 0.49, 1.09, 
61, 3.77, 0.49, 1.10, 
62, 3.77, 0.49, 1.12, 
63, 3.78, 0.49, 1.14, 
64, 3.78, 0.49, 1.16, 
65, 3.78, 0.49, 1.17, 
66, 3.78, 0.48, 1.19, 
67, 3.78, 0.48, 1.21, 
68, 3.78, 0.48, 1.22, 
69, 3.78, 0.48, 1.24, 
70, 3.78, 0.48, 1.26, 
71, 3.78, 0.48, 1.27, 
72, 3.78, 0.48, 1.29, 
73, 3.78, 0.48, 1.31, 
74, 3.78, 0.48, 1.32, 
75, 3.78, 0.48, 1.34, 
76, 3.79, 0.48, 1.36, 
77, 3.78, 0.48, 1.37, 
78, 3.78, 0.48, 1.39, 
79, 3.79, 0.48, 1.41, 
80, 3.78, 0.48, 1.42, 
81, 3.79, 0.48, 1.44, 
82, 3.78, 0.48, 1.46, 
83, 3.79, 0.48, 1.47, 
84, 3.79, 0.47, 1.49, 
85, 3.79, 0.47, 1.50, 
86, 3.79, 0.47, 1.52, 
87, 3.79, 0.47, 1.54, 
88, 3.79, 0.47, 1.55, 
89, 3.79, 0.47, 1.57, 
90, 3.79, 0.47, 1.59, 
91, 3.79, 0.47, 1.60, 
92, 3.79, 0.47, 1.62, 
93, 3.79, 0.47, 1.64, 
94, 3.79, 0.47, 1.65, 
95, 3.79, 0.47, 1.67, 
96, 3.79, 0.47, 1.68, 
97, 3.79, 0.47, 1.70, 
98, 3.80, 0.47, 1.72, 
99, 3.80, 0.47, 1.73, 
100, 3.80, 0.46, 1.75, 
101, 3.80, 0.46, 1.77, 
102, 3.80, 0.47, 1.78, 
103, 3.80, 0.46, 1.80, 
104, 3.80, 0.46, 1.81, 
105, 3.80, 0.46, 1.83, 
106, 3.80, 0.46, 1.85, 
107, 3.80, 0.46, 1.86, 
108, 3.80, 0.46, 1.88, 
109, 3.80, 0.46, 1.89, 
110, 3.80, 0.46, 1.91, 
111, 3.80, 0.46, 1.93, 
112, 3.80, 0.46, 1.94, 
113, 3.80, 0.46, 1.96, 
114, 3.81, 0.46, 1.97, 
115, 3.81, 0.46, 1.99, 
116, 3.81, 0.46, 2.01, 
117, 3.81, 0.46, 2.02, 
118, 3.80, 0.46, 2.04, 
119, 3.81, 0.46, 2.05, 
120, 3.81, 0.46, 2.07, 
121, 3.81, 0.46, 2.09, 
122, 3.81, 0.46, 2.10, 
123, 3.81, 0.46, 2.12, 
124, 3.81, 0.45, 2.13, 
125, 3.81, 0.46, 2.15, 
126, 3.81, 0.45, 2.16, 
127, 3.81, 0.45, 2.18, 
128, 3.81, 0.45, 2.20, 
129, 3.81, 0.45, 2.21, 
130, 3.81, 0.45, 2.23, 
131, 3.81, 0.45, 2.24, 
132, 3.81, 0.45, 2.26, 
133, 3.81, 0.45, 2.27, 
134, 3.81, 0.45, 2.29, 
135, 3.82, 0.45, 2.31, 
136, 3.82, 0.45, 2.32, 
137, 3.81, 0.45, 2.34, 
138, 3.82, 0.45, 2.35, 
139, 3.82, 0.45, 2.37, 
140, 3.82, 0.45, 2.38, 
141, 3.82, 0.45, 2.40, 
142, 3.82, 0.45, 2.41, 
143, 3.82, 0.45, 2.43, 
144, 3.82, 0.45, 2.45, 
